Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,pop2010,popDensity2010
Brooklyn,047,3,029000,"3,920",102.5
Brooklyn,047,3,029100,"3,101",76.2
Brooklyn,047,3,029200,"2,539",51.6
Brooklyn,047,3,029300,"3,106",76.4
Brooklyn,047,3,029400,"2,321",49.7
Brooklyn,047,3,029500,"3,425",84.2
Brooklyn,047,3,029600,"5,546",104.8
Brooklyn,047,3,029700,"3,344",65.8
Brooklyn,047,3,029800,"3,717",68.1
Brooklyn,047,3,029900,"2,579",72.7
Brooklyn,047,3,030000,"4,120",85.5
Brooklyn,047,3,030100,"2,750",57.2
Brooklyn,047,3,030200,"4,214",80.7
Brooklyn,047,3,030300,"4,458",71.1
Brooklyn,047,3,030400,"4,281",37.9
Brooklyn,047,3,030500,"5,549",69.6
Brooklyn,047,3,030600,"2,005",41.9
Brooklyn,047,3,030700,"4,544",69.2
Brooklyn,047,3,030800,"1,949",11.5
Brooklyn,047,3,030900,"1,754",49.8
Brooklyn,047,3,031100,"2,833",78.6
Brooklyn,047,3,031300,"4,648",108.1
Brooklyn,047,3,031400,"4,544",21.1
Brooklyn,047,3,031500,"5,175",116.5
Brooklyn,047,3,031701,"3,433",99.4
Brooklyn,047,3,031702,"3,363",97.4
Brooklyn,047,3,031900,"3,508",93.8
Brooklyn,047,3,032100,"5,001",126.4
Brooklyn,047,3,032300,"3,554",83.1
Brooklyn,047,3,032500,"6,405",153.9
Brooklyn,047,3,032600,"6,948",85.5
Brooklyn,047,3,032700,"2,924",66.8
Brooklyn,047,3,032800,"3,138",54.5
Brooklyn,047,3,032900,"5,582",144.4
Brooklyn,047,3,033000,"4,587",54.8
Brooklyn,047,3,033100,"4,520",128.4
Brooklyn,047,3,033300,"4,085",88.7
Brooklyn,047,3,033500,"3,139",70.3
Brooklyn,047,3,033600,"4,759",28.4
Brooklyn,047,3,033700,"4,105",84.1
Brooklyn,047,3,033900,"4,376",98.0
Brooklyn,047,3,034000,"2,248",70.1
Brooklyn,047,3,034100,"2,607",75.5
Brooklyn,047,3,034200,"6,502",114.4
Brooklyn,047,3,034300,"5,281",131.8
Brooklyn,047,3,034500,"2,647",65.5
